Name,Address,Contributor,Tags,Business Hours,Tel,Mail,website,Description,Business Type,Latitude and Longitude;;;;;
"Fry's Electronics (Palo Alto),""340 Portage Avenue Palo Alto, CA 94306"",Stanford University,""electronics,test equipment"",""Mon-Fri: 8AM - 9PM, Sat: 9AM - 9PM, Sun: 9AM - 7PM"",650-496-6000,,http://www.frys.com/,""Fry's was founded as a Silicon Valley retail electronics store to provide a one-stop-shopping environment for the Hi-Tech Professional. Fry's continues to keep hi-tech professionals supplied with products representing the latest technological trends and advances in the personal computer marketplace. Fry's retails over 50,000 electronic items within each store, now totaling 34."",retail,""37.423421,-122.136624""";;;;;
"TechLiminal,""268 14th Street Oakland, CA 94612"",Mathilde Berchon,""coworking,3Dprinting,electronics,membership"",9:30AM - 7PM Mon-Fri and by appointment,(510) 832-3401,info@techliminal.com,http://techliminal.com/,""TechLiminal is a coworking space hosting many web developpers and designers but also providing resources and mentorship for makers. The space hosts the Make:SF event and DIY workshops (3D printing, electronics, sewing) on a regular basis."",workspace,""37.8027974,-122.2669415""";;;;;
"Nesco Electronics,""2360 3rd Street San Francisco, CA 94107"",Attila,""supplier,electronics,capacitors"",,(415) 285-4200,,http://www.nescoelectronics.com/,""Nesco Electronics sells capacitors, mosfets, remote controls"",retail,""37.7597208,-122.38869""";;;;;
"American Steel,""1960 Mandela Parkway Oakland, CA 94607"",Todd Huffman,""rental,workshop"",,510.776.7694,info@americansteelstudios.com/,http://www.americansteelstudios.com/,""The American Steel Warehouse features towering ceilings, bridge cranes, drive – through truck access, and thousands of square feet for those big ideas. Spaces range in size from 700 to several thousand square feet. The Poplar Studios are in a warehouse that is spacious and bright with four rows of skylights and four loading docks. Spaces range in size from 500 to 1000 square feet. The population includes painters, glass artists, photographers, print-makers, writers, graphic designers and jewelers. The Poplar Gallery is a 6000 square foot space with high clearance and loading docks and ramps for easy install and strike. Movable walls allow the space to easily adapt to larger or smaller events. It is available for gallery shows, demonstrations and performance."",workspace,""37.8150695,-122.288762""";;;;;
"Ricman,""2273 American Avenue Hayward, CA 94545"",Todd Huffman,""services,fabrication"",,510-732-1993,info@ricman.com,http://www.ricman.com/?gclid=CKK_4vbhwrECFeUaQgodu1sABg,""For the past 28 years, we have provided high quality CNC machining services to industries ranging from defense and aircraft to Nasa Space Shuttle Parts, semiconductor and telecommunications. We take pride in the fact that we have remained competitive over the years by adapting our CNC machining skills and equipment to the needs of our customers."",fabricator,""37.6464766,-122.1240526""";;;;;
"Pro Stainless Inc.,""333 East Brokaw San Jose, CA 95112"",John Carlsen,""distributor,mechanical,fasteners,retail,wholesale"",,(408) 437-0600,,http://www.prostainless.com/,,retail,""37.377693,-121.9127634""";;;;;
"OMW Corp,21 Pamaron Way. Ste. G Novato CA 94949,Todd Huffman,""services,fabrication"",,415-382-1669,rfq@omwcorp.com,http://www.omwcorp.com/?gclid=CMPpm_fhwrECFeUaQgodu1sABg,""OMW Corporation is a modern, highly computerized, CNC machine shop. We perform production machining and prototyping in all metals and engineering plastics for clients in biotechnology, electronics, robotics, health-care and a variety of other industries."",fabricator,""38.06675600000001,-122.530515""";;;;;
"East Bay Center for Creative Reuse,""4695 Telegraph Ave Oakland, CA 94609"",Andra Keay,""used,refurbished,fabric,paint,plastic,metal"",11am to 6pm daily,510.547.6470,eastbaydepot@hotmail.com,http://creativereuse.org/,""A treasure trove of art & craft materials, educational supplies, vintage furniture, home décor, paper goods, fabric, and much more."",retail,""37.8342715,-122.2632733""";;;;;
"GAFFTA - Gray Area Foundation For The Arts,""923 Market St, Ste 200 San Francisco CA 94103"",Chris Fornof,coworking,,,,http://www.gaffta.org/,,workspace,""37.7759726,-122.4167919""";;;;;
"Recology (SF Dump),""501 Tunnel Avenue San Francisco, CA 94134"",Matthew Goodman,""paint,disposal,surplus"",""M-F, 7-4:30, SS 8-4:30"",,,http://sunsetscavenger.com/sfDump.htm,Great place to get free paints and solvents.,retail,""37.70863800000001,-122.397103""";;;;;
"Parallax,""599 Menlo Drive, Suite 100 Rocklin, California 95765"",Matthew Goodman,,,,info@parallaxinc.com,http://www.parallax.com/,,,""38.81275600000001,-121.29616""";;;;;
"House of Foam,""150 Hamilton Avenue Palo Alto, CA 94301"",Stanford,""fabric,"",,,,,,retail,""37.4433482,-122.1619991""";;;;;
"Jo-Ann Fabrics and Crafts,""435 San Antonio Avenue, Mountain View, CA 94040"",Stanford,""fabric,"",,,,,,retail,""37.4037887,-122.1103432""";;;;;
"PK Selective Metal Plating Inc.,""415 Mathew Street Santa Clara, CA 95050"",Stanford,""metal,"",,,,,,,""37.3631072,-121.9403561""";;;;;
"Tools & Gages,""960 Terminal Way San Carlos, CA"",Stanford,""metal,"",,,,,,,""37.507637,-122.2546646""";;;;;
"GE Polymershapes,""2250 Zanker Road, Suite B San Jose, CA 95131"",Stanford,plastic,,,,,,,""37.3820267,-121.9176971""";;;;;
"Constantine's,""1040 East Oakland Park Blvd. Ft. Lauderdale, FL 33334"",Stanford,wood,,,,,,,""26.1664701,-80.13324279999999""";;;;;
"Jordan International,""500 East 13th Street Jasper, IN 47547"",Stanford,wood,,,,,,,""38.39679,-86.9256319""";;;;;
"Plywood and Lumber Sales,""2035 Newcomb Avenue San Francisco, CA"",Stanford,wood,,,,,,,""37.7402455,-122.3985835""";;;;;
"Musson Theatrical,""890 Walsh Avenue Santa Clara, CA 95050"",stanford,miscellaneous,,,,,,,""37.36909,-121.949694""";;;;;
"Rejuvenation Lamp and Fixture,""2550 NW Nicolai Street Portland, OR 97210"",stanford,miscellaneous,,,,,,,""45.54011850000001,-122.7051161""";;;;;
"JewelrySupply.com,""503 Giuseppe Court, Suite 4 Roseville, CA 95678"",stanford,jewelry,,,,,,,""38.7302729,-121.301637""";;;;;
"Flax Art & Design,""1699 Market Street at Valencia, San Francisco, CA"",stanford,art,,,,,,,""37.7724353,-122.4226112""";;;;;
"Pearl Art,""969 Market St, San Francisco, CA 94103"",stanford,art,,,,,,,""37.78252,-122.409229""";;;;;
"Sherry's Western Ceramic Supply Co.,""948 Washington Street, San Carlos, CA 94070"",stanford,art,,,,,,,""37.498668,-122.2451848""";;;;;
"Fry's Electronics (Fremont),""43800 Osgood Road Fremont, CA 94539"",John Carlsen,""electronics,test equipment"",,,,http://www.frys.com/,""Fry's was founded as a Silicon Valley retail electronics store to provide a one-stop-shopping environment for the Hi-Tech Professional. Fry's continues to keep hi-tech professionals supplied with products representing the latest technological trends and advances in the personal computer marketplace. Fry's retails over 50,000 electronic items within each store, now totaling 34."",retail,""37.5155307,-121.9427651""";;;;;
"Noisebridge,""2169 Mission St San Francisco, CA 94103"",Chris Fornof,""hackerspace,coworking"",,,,http://www.noisebridge.net,Noisebridge is an infrastructure provider for technical-creative projects,workspace,""37.76244459999999,-122.4192439""";;;;;
"Anchor Electronics,""2040 Walsh Avenue Santa Clara, CA 95050"",""Lee Felsenstein, John Carlsen"",""retail,offshelf,electronics,tools,surplus"",""M-F 7:30 AM - 4:00 PM, S10 - 3"",(408) 727-3693,,http://www.anchor-electronics.com/,""Extensive selection of integrated circuits, listed in catalog on line, through-hole and surface mount. Non-ICs are on racks and browsable - ICs available from counter. Open and close early."",retail,""37.3694801,-121.9604021""";;;;;
"Selway,""29250 Union City Boulevard Union City, California 94587"",Todd Huffman,""services,fabrication"",,510.487.2525,sales@selwaytool.com,http://www.selwaytool.com/,,fabricator,""37.6095189,-122.0834072""";;;;;
"Evil Mad Science LLC,""175 San Lazaro Ave, Suite 150 Sunnyvale, CA 94086"",Mathilde Berchon,""distributor,supplier,electronics"",""10 am to 6 pm (Pacific), Monday through Friday"",(408) 462-1064,,http://evilmadscience.com/,""Evil Mad Science LLC is a small family-owned business based in Sunnyvale, California. They launched in November 2007 to produce DIY and open-source hardware designs that originated with our project blog, Evil Mad Science Laboratories. Today they produce and distribute a curated selection of components and original kits in support of art, education, and accessibility."",retail,""37.3766835,-122.0120347""";;;;;
"Exotic Silks,""1959 Leghorn St # B Mountain View, CA 94043"",Stanford,""fabric,"",,,,,,retail,""37.4187115,-122.0906936""";;;;;
"S.H. Frank & Co.,""3075 17th Street San Francisco, CA 94110"",Stanford,""fabric,"",,,,,,retail,""37.7637182,-122.4146852""";;;;;
"Franciscan Glass,""100 San Antonio Circle, Mountain View, CA"",Stanford,""glass,"",,,,,,,""37.4080184,-122.1094159""";;;;;
"Tower Hobbies,,Stanford,""radiocontrol,"",,,,http://www.towerhobbies.com/,Another huge selection of Radio Control stuff.,,0";;;;;
"Zotefoams,,Stanford,""foam,"",,(800) 209-2617,,http://www.zotefoams-usa.com/,""Makes foams produced from a wide range of polymers, including LDPE, HDPE PP, EVA copolymers and metallocene-catalyst-based foams. Ask Michael Flores for samples. Squishy: LD18. Medium: LD33. Hard LD70. You can vary the cell size of each. The bigger the cell, the more coarse the foam. There are fine, medium, and large cell foams."",,0";;;;;
"Sequoia Brass and Copper,""2353 Industrial Pkwy West Hayward, CA 94545"",stanford,""metal,"",,,,,,,""37.618207,-122.081701""";;;;;
"Peninsula Hardware,""2676 Middlefield Road, Palo Alto, CA 94303"",stanford,hardware,,,,,,,""37.4363647,-122.1340083""";;;;;
"Accent Arts,""3902 Middlefield Road, Palo Alto, CA 94303"",stanford,art,,,,,,,""37.4363647,-122.1340083""";;;;;
"Fry's Electronics (Sunnyvale),""1077 East Arques Avenue Sunnyvale, CA 94085"",John Carlsen,""electronics,test equipment"",,,,http://www.frys.com/,""Fry's was founded as a Silicon Valley retail electronics store to provide a one-stop-shopping environment for the Hi-Tech Professional. Fry's continues to keep hi-tech professionals supplied with products representing the latest technological trends and advances in the personal computer marketplace. Fry's retails over 50,000 electronic items within each store, now totaling 34."",retail,""37.3805127,-122.0027913""";;;;;
"A Tool Shed,""2550 Lafayette Street Santa Clara, CA 95050"",John Carlsen,tool/heavy equipment rental,,(408) 727-0822,,http://www.atoolshed.com/,,retail,""37.3671342,-121.95029""";;;;;
"Central Computers,""837 Howard Street San Francisco, CA 94103"",Matthew Goodman,""distributor,computers,wholesale"",M-F 9:00-7:30 SS 10:30-6:00,,,http://www.centralcomputers.com/,""Central Computers was established by Saul and Sherry Yeung in 1986, when Apple took the lead and IBM followed suit in driving the personal computer revolution in Silicon Valley. At this time, Saul was finishing his PhD studies at UC Berkeley and spent a period in a teaching and research position. Sherry had obtained her MBA degree from UCLA and worked as a manager at IBM. Both of them grabbed the opportunity to enter the computer industry at this critical time. With academic discipline learned at top American universities and with work experience at top institutions and corporations, Saul and Sherry built their company's foundation in a systematic manner, from the beginning."",retail,""37.782246,-122.4037189""";;;;;
"The Shipyard,""1010 Murray Street Berkeley, CA 94701"",Mathilde Berchon,""art,makerspace,art,electronics"",,,,,The Shipyard is a collaborative art space.,workspace,""37.851232,-122.288657""";;;;;
"Oakland Machine Works,""561 Fourth Street Oakland, CA 94607"",Todd Huffman,machining,,,,http://www.oaklandmachineworks.com/,,fabricator,""37.7985553,-122.2784001""";;;;;
"Because We Can,""2500 Kirkham St Oakland, CA 94607"",Mathilde Berchon,""architecture,wood,art,order"",,510-922-8846,us@becausewecan.org,http://www.becausewecan.org/,""Because We Can is a design-build studio: a mash-up of Architects, artists, fabricators, and builders."",service,""37.818866,-122.286892""";;;;;
